,Image,Accuracy,F1,Recall,Precision
0,JPCLN012,0.9821968078613281,0.9702562664508275,0.9499918878779937,0.9914040114613181
1,JPCLN013,0.9887847900390625,0.9791510062830641,0.9853560367098183,0.9730236360304999
2,JPCLN016,0.9503440856933594,0.9090566116828404,0.9753676856418945,0.8511879840904333
3,JPCLN017,0.9804534912109375,0.965485187729863,0.9417105764555931,0.9904913274825513
4,JPCLN019,0.9908981323242188,0.98554079604402,0.9815910188314824,0.989522488317757
5,JPCLN021,0.9910240173339844,0.985830849366212,0.9810162991371045,0.9906928895612708
6,JPCLN030,0.9845199584960938,0.9707944093388798,0.9663710220515539,0.9752584773335261
7,JPCLN035,0.9891815185546875,0.9846198900181135,0.9812566882492191,0.9880062254437806
8,JPCLN038,0.9904403686523438,0.9808935651113143,0.9728826376285541,0.9890375153751537
9,JPCLN039,0.9863471984863281,0.9758360170950557,0.9709782740134628,0.9807426105366013
10,JPCLN040,0.9872512817382812,0.9823620684195526,0.9818231688662425,0.9829015598762237
11,JPCLN043,0.9849929809570312,0.9722441722639273,0.9550482368596142,0.9900706977813541
12,JPCLN053,0.9744529724121094,0.9653118412124541,0.9721245631422462,0.9585939428853593
13,JPCLN066,0.9734306335449219,0.9655554401633955,0.9606195386916476,0.970542327384799
14,JPCLN071,0.9899101257324219,0.9801975009171291,0.9746590435352273,0.9857992621037572
15,JPCLN076,0.9814567565917969,0.9704503869230349,0.9510538669589772,0.9906545535780773
16,JPCLN082,0.9843711853027344,0.9731610012381183,0.963185331189377,0.9833454689878864
17,JPCLN088,0.9842605590820312,0.973866227514568,0.9670549461608131,0.9807741375790978
18,JPCLN089,0.9807624816894531,0.9781393997979964,0.9693613657648059,0.9870778652668416
19,JPCLN091,0.9835395812988281,0.9722616851267348,0.9541852777146895,0.9910362089978639
20,JPCLN099,0.9883995056152344,0.9759534409273858,0.9721635842339078,0.9797729618163055
21,JPCLN105,0.9889183044433594,0.9799485080447552,0.9669009480222295,0.9933530177299505
22,JPCLN107,0.9830398559570312,0.981419102466587,0.9753860723215844,0.9875272289926744
23,JPCLN109,0.9828987121582031,0.9724009283827794,0.9593542352498148,0.9858073696824445
24,JPCLN115,0.9862861633300781,0.9826562266317378,0.9735584276537167,0.9919256654751585
25,JPCLN119,0.9881477355957031,0.9724808021044614,0.9578128271337847,0.9876050155611924
26,JPCLN125,0.9860115051269531,0.9771439612563031,0.9749502487562189,0.9793475680605704
27,JPCLN130,0.9860610961914062,0.9774516821760916,0.9674460080132903,0.9876664837631566
28,JPCLN131,0.9872169494628906,0.9672065371629887,0.9653643289705021,0.9690557897833121
29,JPCLN138,0.9867439270019531,0.975863194671149,0.9738137155689868,0.9779213185956511
30,JPCLN140,0.9730415344238281,0.9653277598700833,0.9540054886977434,0.9769220075072987
31,JPCLN153,0.9835166931152344,0.9766516991143749,0.9691578461967421,0.9842623450739506
32,JPCNN007,0.953521728515625,0.9089441587946909,0.841525517546773,0.9881060704536592
33,JPCNN008,0.987030029296875,0.9796794128545644,0.9747740247383444,0.9846344217785146
34,JPCNN009,0.986358642578125,0.9776469264523872,0.9702718463466382,0.9851349819226263
35,JPCNN011,0.9892616271972656,0.9796021883265099,0.9750310128955947,0.9842164271465804
36,JPCNN028,0.9822311401367188,0.9730002318571759,0.9786730410447761,0.9673928077455048
37,JPCNN030,0.9920692443847656,0.9847570587502108,0.9805370205434449,0.989013578392389
38,JPCNN034,0.9831504821777344,0.9755053375849161,0.9789417447632616,0.9720929718498215
39,JPCNN041,0.9859237670898438,0.9787371356789711,0.9835431456796414,0.9739778657033087
40,JPCNN044,0.9891242980957031,0.982742026283452,0.9803859996618276,0.9851094040120872
41,JPCNN054,0.9843940734863281,0.9809459490929415,0.9857990713697297,0.9761403768967659
42,JPCNN061,0.9832496643066406,0.9768068327672813,0.9778449889489325,0.9757708786222326
43,JPCNN064,0.9883308410644531,0.9806143336058354,0.9828628776137606,0.9783760543254214
44,JPCNN067,0.9861717224121094,0.9726322147144314,0.9735068310966026,0.9717591684644048
45,JPCNN071,0.9864654541015625,0.9670499080592136,0.963577813558381,0.9705471152949948
46,JPCNN084,0.9869804382324219,0.9755744967115386,0.9665475481437363,0.9847716469449381
47,JPCNN087,0.9752273559570312,0.9417421727819144,0.9102701952759182,0.9754683318465656
48,JPCNN090,0.980804443359375,0.9661322672266419,0.9635770480358725,0.9687010743400097
49,MCUCXR_0001_0,0.98992919921875,0.9788074366631346,0.9615633329653172,0.9966813255080188
50,MCUCXR_0015_0,0.9886360168457031,0.9807807691563281,0.9719952430275828,0.9897265625
51,MCUCXR_0031_0,0.9869499206542969,0.9814488446876237,0.9702265441562758,0.9929337927099563
52,MCUCXR_0035_0,0.9892387390136719,0.9797958818263205,0.9696222269473386,0.9901852924145917
53,MCUCXR_0043_0,0.9891242980957031,0.97260839906613,0.9654014876978829,0.9799237217586587
54,MCUCXR_0048_0,0.9919471740722656,0.9790035905749892,0.9617376350809997,0.996900826446281
55,MCUCXR_0053_0,0.9924507141113281,0.9768838116597167,0.9663970418303675,0.9876006707446683
56,MCUCXR_0056_0,0.9915847778320312,0.9805861128223181,0.9643926673475394,0.9973326650077872
57,MCUCXR_0058_0,0.9882659912109375,0.9714931791221827,0.9822713643178411,0.9609489586388971
58,MCUCXR_0069_0,0.9885749816894531,0.9801370180988573,0.9736217982502372,0.9867400216325931
59,MCUCXR_0072_0,0.9898948669433594,0.9800951286039539,0.9694379617379929,0.9909892113660538
60,MCUCXR_0095_0,0.9878654479980469,0.9816550268455989,0.9688762906549184,0.9947753518163542
61,MCUCXR_0104_1,0.9886741638183594,0.9834159093321119,0.9763534122292343,0.9905813246911079
62,MCUCXR_0140_1,0.9919509887695312,0.9844686207251903,0.9754076840047843,0.993699476937708
63,MCUCXR_0144_1,0.9760627746582031,0.9550079229075996,0.9241112313712431,0.9880420752785485
64,MCUCXR_0182_1,0.9827537536621094,0.9678611796319071,0.9645493574393924,0.9711958227523041
65,MCUCXR_0213_1,0.9845504760742188,0.9687952661262983,0.9433982083101994,0.9955975739148336
66,MCUCXR_0228_1,0.9863166809082031,0.9746291987013999,0.9612020256979031,0.9884368185469987
67,MCUCXR_0251_1,0.9664344787597656,0.9221155122814781,0.8724519705877427,0.9777744406066977
68,MCUCXR_0253_1,0.9925918579101562,0.9859169228984161,0.9808524760475585,0.9910339398180545
69,MCUCXR_0264_1,0.987396240234375,0.9757251594322156,0.9758542141230069,0.9755961388713398
70,MCUCXR_0331_1,0.9901924133300781,0.9832640068740603,0.9735865109443886,0.9931358238983786
71,MCUCXR_0348_1,0.9798736572265625,0.9362724966783427,0.8862389097228573,0.9922935122126069
72,MCUCXR_0354_1,0.98114013671875,0.9729389484285542,0.9483551543476637,0.9988312111574381
73,MCUCXR_0372_1,0.9707679748535156,0.9337276980688235,0.9410605954954326,0.9265081953145112
74,MCUCXR_0387_1,0.9859542846679688,0.9771096770984867,0.9649913430013385,0.989536245388267
75,MCUCXR_0399_1,0.9755516052246094,0.9372546332103032,0.8852619703722883,0.9957355633216841
